fuel_type,body_type,km_driven,owner,price,manufacturing_year,link,features,oem,model,registration_year,Mileage,Seats,transmission,variantName,City
Petrol,MUV,60000,Second Owner,1050000,2019,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-Zxi-Plus-Petrol-cars-Bangalore_db9b906d-e823-49e5-ab9a-fa37a933b9dc.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Maruti,Maruti Ertiga,2019,19.34,7,Manual,ZXI Plus Petrol,Bangalore
Diesel,SUV,120000,Third Owner,1100000,2011,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-3.0-Diesel-cars-Bangalore_727d706f-28a7-48c2-a378-59d775a91608.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Toyota,Toyota Fortuner,2011,11.5,7,Manual,3.0 Diesel,Bangalore
Diesel,SUV,40000,Second Owner,1100000,2020,https://www.cardekho.com/used-car-details/used-Renault-Duster-Rxz-110ps-Amt-Bsiv-cars-Bangalore_5e134abd-a9d6-4013-a376-52f2fd3ddd46.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Renault,Renault Duster,2020,19.87,5,Automatic,RXZ 110PS AMT BSIV,Bangalore
Diesel,Hatchback,120000,First Owner,710000,2017,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-Option-1.4-Crdi-cars-Bangalore_219cc70d-1d68-4543-a05e-d2afd905fb2b.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai i20,2017,22.54,5,Manual,Asta Option 1.4 CRDi,Bangalore
Petrol,Sedan,120000,First Owner,650000,2013,https://www.cardekho.com/used-car-details/used-Hyundai-Elantra-Sx-cars-Bangalore_965f2839-03b0-42bc-bbd3-eb7f57cf8305.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Hyundai,Hyundai Elantra,2013,16.3,5,Manual,SX,Bangalore
Diesel,SUV,120000,Second Owner,650000,2010,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-Sle-7s-Bsiii-cars-Bangalore_9e8719c1-1ea9-4e74-aa80-40b0480e69e3.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking",Mahindra,Mahindra Scorpio,2010,12.05,7,Manual,SLE 7S BSIII,Bangalore
Petrol,Hatchback,60000,Second Owner,250000,2008,https://www.cardekho.com/used-car-details/used-Maruti-Alto-Lxi-cars-Bangalore_9e4b29dd-50a3-41d2-a506-d3f759da4c3a.htm,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Tinted Glass, Brake Assist, Halogen Headlamps, Usb Auxiliary Input",Maruti,Maruti Alto,2008,19.7,5,Manual,LXi,Bangalore
Diesel,SUV,100000,Second Owner,3500000,2014,https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gl-class-350-Cdi-Blue-Efficiency-cars-Bangalore_7aab0a9b-e138-4051-9775-7dddc394e296.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Mercedes-Benz,Mercedes-Benz GL-Class,2014,11.3,7,Automatic,350 CDI Blue Efficiency,Bangalore
Diesel,SUV,120000,Second Owner,650000,2010,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-Sle-Bsiii-cars-Bangalore_da91b4e8-0494-413a-953e-29b0d469b711.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking",Mahindra,Mahindra Scorpio,2010,12.05,8,Manual,SLE BSIII,Bangalore
Petrol,Hatchback,10000,First Owner,550000,2022,https://www.cardekho.com/used-car-details/used-Renault-Kwid-1.0-Rxt-Amt-Opt-cars-Bangalore_6127c611-f86e-495e-a452-586b2108f409.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Renault,Renault KWID,2022,22,5,Automatic,1.0 RXT AMT Opt,Bangalore
