fuel_type,body_type,km_driven,owner,price,manufacturing_year,link,features,oem,model,registration_year,Mileage,Seats,transmission,variantName,City
Petrol,Hatchback,10000,Second Owner,500000,2021,https://www.cardekho.com/used-car-details/used-Renault-Kwid-Climber-1.0-Mt-Opt-cars-Chennai_bad604d6-9b9f-47d6-8b0e-ed861e7df48f.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Renault,Renault KWID,2021,21.74,5,Manual,Climber 1.0 MT Opt,Chennai
Petrol,Hatchback,31268,0th Owner,425000,2020,https://www.cardekho.com/used-car-details/used-Renault-Kwid-1.0-Rxt-Opt-cars-Chennai_298735cf-128e-431b-a2f3-8ad8b02f6e05.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Renault,Renault KWID,2015.788,21.74,5,Manual,1.0 RXT Opt,Chennai
Petrol,Hatchback,30000,Second Owner,550000,2017,https://www.cardekho.com/used-car-details/used-Honda-Jazz-1.2-Vx-I-Vtec-cars-Chennai_2f956baf-04a7-406e-90dc-1e6fef6d6ec9.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Honda,Honda Jazz,2017,18.7,5,Manual,1.2 VX i VTEC,Chennai
Petrol,Hatchback,60000,Second Owner,87000,2012,https://www.cardekho.com/used-car-details/used-Tata-Nano-Lx-Bsiii-cars-Chennai_ef3f1577-3697-477b-b3cc-ea7435b62e4f.htm,"Power Windows Front, Power Windows Rear, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks",Tata,Tata Nano,2012,25.4,4,Manual,Lx BSIII,Chennai
Diesel,SUV,100000,Third Owner,490000,2013,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-Vlx-2wd-Bsiv-cars-Chennai_e2e75bc2-0e85-4875-ac34-a3dfb2aea2b3.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Mahindra,Mahindra Scorpio,2013,12.05,8,Manual,VLX 2WD BSIV,Chennai
Diesel,Hatchback,110000,First Owner,390000,2014,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vdi-Optional-cars-Chennai_69077b2a-d358-48cf-b946-472475b46c2e.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Maruti,Maruti Swift,2014,25.2,5,Manual,VDI Optional,Chennai
Petrol,Sedan,50000,Second Owner,580000,2016,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Vxi-Plus-cars-Chennai_8b62f350-e0fe-4af9-bc69-338bfc42a8ce.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Ciaz,2016,20.73,5,Manual,VXi Plus,Chennai
Petrol,Hatchback,50000,First Owner,480000,2016,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Sportz-cars-Chennai_86750c41-4e6e-49dd-a131-17bef631fbf3.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",Hyundai,Hyundai Grand i10,2016,18.9,5,Manual,Sportz,Chennai
Diesel,Sedan,20000,First Owner,950000,2018,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-1.3-Delta-cars-Chennai_46b20d11-0239-423f-9e4f-72b5fbf54ed6.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Ciaz,2018,28.09,5,Manual,1.3 Delta,Chennai
Diesel,SUV,80000,Second Owner,825000,2014,https://www.cardekho.com/used-car-details/used-Mahindra-Xuv500-W6-2wd-cars-Chennai_cd41c2bd-e1c0-4ca6-a0cf-f84a538425f0.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Mahindra,Mahindra XUV500,2014,15.1,7,Manual,W6 2WD,Chennai
Petrol,Hatchback,68767,0th Owner,180000,2009,https://www.cardekho.com/used-car-details/used-Maruti-Alto-Lxi-cars-Chennai_8192ccb3-6253-446d-b70f-684e61825c08.htm,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Tinted Glass, Brake Assist, Halogen Headlamps, Usb Auxiliary Input",Maruti,Maruti Alto,2015.788,19.7,5,Manual,LXi,Chennai
Petrol,MUV,30000,First Owner,1900000,2022,https://www.cardekho.com/used-car-details/used-Kia-Carens-Luxury-Plus-Turbo-Dct-6-Str-2022-2023-cars-Chennai_f963f2cf-09d9-49e7-95d1-637060741ac9.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Kia,Kia Carens,2022,16.5,6,Automatic,Luxury Plus Turbo DCT 6 STR 2022-2023,Chennai
Petrol,SUV,10000,First Owner,900000,2022,https://www.cardekho.com/used-car-details/used-Kia-Sonet-Htk-Plus-Bsvi-cars-Chennai_0203515b-4305-4dbc-a550-1e215c9f67fd.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Kia,Kia Sonet,2022,18.4,5,Manual,HTK Plus BSVI,Chennai
Petrol,Hatchback,13270,0th Owner,710000,2021,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-Delta-cars-Chennai_0decbcbc-1b65-488e-bf6d-f799ec188b64.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Maruti,Maruti Baleno,2015.788,21.01,5,Manual,Delta,Chennai
Petrol,Sedan,40000,First Owner,630000,2019,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vxi-1.2-cars-Chennai_f755fa0d-c617-4347-91e0-19201f9f1e71.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Maruti,Maruti Swift Dzire,2019,21.21,5,Manual,VXI 1.2,Chennai
Petrol,Sedan,120000,Third Owner,155000,2009,https://www.cardekho.com/used-car-details/used-Ford-Fiesta-1.6-Sxi-Abs-Duratec-cars-Chennai_dd31aba2-2f94-499a-a7af-aac8dd5b8894.htm,,Ford,Ford Fiesta,2009,15.3,5,Manual,1.6 SXI ABS Duratec,Chennai
Petrol,Sedan,80000,Third Owner,140000,2008,https://www.cardekho.com/used-car-details/used-Chevrolet-Aveo-1.4-Ls-cars-Chennai_64db9dc8-a308-4fbc-82af-6fdbfaac46c7.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks",Chevrolet,Chevrolet Aveo,2008,14.49,5,Manual,1.4 LS,Chennai
Diesel,Hatchback,100000,Third Owner,300000,2012,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Magna-1.4-Crdi-(diesel)-cars-Chennai_39982c83-06cc-4786-b23f-3df986e05b8f.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Rear, Centeral Locking, Anti Theft Alarm, Cd Player",Hyundai,Hyundai i20,2012,21.9,5,Manual,Magna 1.4 CRDi (Diesel),Chennai
Petrol,Hatchback,30000,Second Owner,515000,2020,https://www.cardekho.com/used-car-details/used-Ford-Figo-Titanium-cars-Chennai_80e95f81-ec4a-4981-88d7-25a7b7813414.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Rear, Anti Lock Braking System, Centeral Locking, Radio",Ford,Ford Figo,2020,18.5,5,Manual,Titanium,Chennai
Diesel,Sedan,50000,First Owner,3100000,2017,https://www.cardekho.com/used-car-details/used-Mercedes-benz-C-class-C-220d-Avantgarde-Edition-C-cars-Chennai_ae47947c-0c09-4c2e-a82a-a248634cb3f4.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Mercedes-Benz,Mercedes-Benz C-Class,2017,19.27,5,Automatic,C 220d Avantgarde Edition C,Chennai
Petrol,Sedan,50000,Second Owner,750000,2008,https://www.cardekho.com/used-car-details/used-Mercedes-benz-C-class-C-200-Kompressor-Elegance-At-cars-Chennai_040944bb-3786-45c9-bb8a-78ea5067dc35.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Mercedes-Benz,Mercedes-Benz C-Class,2008,11.74,5,Automatic,C 200 Kompressor Elegance AT,Chennai
Diesel,SUV,30000,First Owner,800000,2019,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Diesel-Titanium-Bsiv-cars-Chennai_bafaf9f9-3bbf-474b-86f2-7da398479511.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Ford,Ford Ecosport,2019,23,5,Manual,1.5 Diesel Titanium BSIV,Chennai
Diesel,SUV,70000,First Owner,760000,2019,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vdi-cars-Chennai_a99dd63a-4c8f-41fd-9985-9f1109f143e8.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Vitara Brezza,2019,24.3,5,Manual,VDi,Chennai
Diesel,MUV,60000,First Owner,1100000,2013,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2.5-Vx-(diesel)-8-Seater-Bs-Iv-cars-Chennai_41ee9cc3-d1fc-4bde-9488-f9410126edb7.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Power Door Locks, Cd Player",Toyota,Toyota Innova,2013,12.99,8,Manual,2.5 VX (Diesel) 8 Seater BS IV,Chennai
Petrol,Hatchback,30000,First Owner,545000,2019,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Sportz-Bsiv-cars-Chennai_72dfabcb-edbb-496c-a330-e7316bb18d27.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Hyundai,Hyundai Grand i10,2019,18.9,5,Manual,1.2 Kappa Sportz BSIV,Chennai
Petrol,Sedan,50000,Second Owner,400000,2013,https://www.cardekho.com/used-car-details/used-Skoda-Rapid-Ultima-1.6-Mpi-At-Elegance-cars-Chennai_4f279954-dd62-497d-b248-86e84d6f7df9.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Skoda,Skoda Rapid,2013,14.3,5,Automatic,Ultima 1.6 MPI AT Elegance,Chennai
Petrol,Hatchback,10000,First Owner,750000,2022,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-Bsvi-cars-Chennai_620594e5-588f-4f14-a965-fa63f034c476.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",Maruti,Maruti Swift,2022,22.38,5,Manual,VXI BSVI,Chennai
Diesel,Hatchback,40000,First Owner,700000,2019,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Sportz-Plus-Diesel-cars-Chennai_6d9396a9-2f99-4239-ac5b-9b775b153e01.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai i20,2019,22.54,5,Manual,Sportz Plus Diesel,Chennai
Petrol,Sedan,110000,First Owner,365000,2011,https://www.cardekho.com/used-car-details/used-Honda-City-S-cars-Chennai_6aa00bf0-7448-40e1-8d0a-1473a9e0a7a2.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Honda,Honda City,2011,16.8,5,Manual,S,Chennai
Petrol,Sedan,60000,First Owner,750000,2017,https://www.cardekho.com/used-car-details/used-Honda-City-I-vtec-V-cars-Chennai_ff135878-ff9f-4695-86ed-54e450b5bd32.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Honda,Honda City,2017,17.4,5,Manual,i-VTEC V,Chennai
Petrol,Hatchback,40000,First Owner,580000,2017,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Zeta-cars-Chennai_e85205cc-1fcc-41eb-90a0-70a9ceefb77f.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Baleno,2017,21.4,5,Manual,1.2 Zeta,Chennai
Diesel,Sedan,129306,0th Owner,310000,2009,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vdi-Bsiv-cars-Chennai_e725baaa-c189-410c-bf31-cbe9644344ff.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Fog Lights Rear, Centeral Locking, Power Door Locks, Cd Player",Maruti,Maruti Swift Dzire,2015.788,19.3,5,Manual,Vdi BSIV,Chennai
Diesel,Hatchback,80000,First Owner,300000,2014,https://www.cardekho.com/used-car-details/used-Ford-Figo-Diesel-Titanium-cars-Chennai_9b3a7b49-d4c0-4cd9-a869-fc9f7473705c.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Ford,Ford Figo,2014,20,5,Manual,Diesel Titanium,Chennai
Diesel,MUV,60000,First Owner,985000,2017,https://www.cardekho.com/used-car-details/used-Maruti-Ertiga-Shvs-Zdi-cars-Chennai_25d18529-a111-41d0-b7bc-92cf621b7b1a.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Maruti,Maruti Ertiga,2017,24.52,7,Manual,SHVS ZDI,Chennai
Diesel,Hatchback,110000,First Owner,100000,2007,https://www.cardekho.com/used-car-details/used-Tata-Indica-Dls-cars-Chennai_c5db7fb2-efc3-4377-bf5e-d93b69e82776.htm,"Remote Fuel Lid Opener, Low Fuel Warning Light, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Child Safety Locks, Day Night Rear View Mirror",Tata,Tata Indica,2007,17.2,5,Manual,DLS,Chennai
Diesel,MUV,120000,First Owner,1050000,2012,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2.5-Vx-(diesel)-8-Seater-Bs-Iv-cars-Chennai_df8dfa1f-79e5-4ea4-9d9d-baf36338354b.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Power Door Locks, Cd Player",Toyota,Toyota Innova,2012,12.99,8,Manual,2.5 VX (Diesel) 8 Seater BS IV,Chennai
Diesel,Sedan,110000,Second Owner,183000,2013,https://www.cardekho.com/used-car-details/used-Tata-Indigo-Vx-Bsiv-cars-Chennai_f87ac53a-641b-4ab6-b6d4-49a657fa7803.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Fog Lights Rear, Anti Lock Braking System, Child Safety Locks, Cd Player",Tata,Tata Indigo,2013,25,5,Manual,VX BSIV,Chennai
Petrol,SUV,10000,First Owner,2000000,2023,https://www.cardekho.com/used-car-details/used-Toyota-Hyryder-V-At-Bsvi-cars-Chennai_359c709f-ab20-441b-9904-1c3095af218a.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Toyota,Toyota Hyryder,2023,20.58,5,Automatic,V AT BSVI,Chennai
Petrol,Hatchback,10000,First Owner,590000,2023,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Vxi-Bsvi-cars-Chennai_d045a123-a579-4c9e-8e67-a1e5364ca7a0.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Maruti,Maruti Wagon R,2023,24.35,5,Manual,VXI BSVI,Chennai
Diesel,SUV,60000,First Owner,890000,2019,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Zdi-Plus-Amt-Dual-Tone-cars-Chennai_a905fe83-cad0-45d8-b56c-c40ff1bd82c1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Maruti,Maruti Vitara Brezza,2019,24.3,5,Automatic,ZDi Plus AMT Dual Tone,Chennai
Petrol,Hatchback,10000,First Owner,850000,2019,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-Option-Cvt-Bsiv-cars-Chennai_6669f7b0-24b5-491a-b392-7f7d1a6f4c37.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai i20,2019,17.4,5,Automatic,Asta Option CVT BSIV,Chennai
Diesel,Hatchback,80000,Second Owner,520000,2015,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-1.5-Tdi-Highline-cars-Chennai_391fb577-22f9-4db0-9bfb-1376a68852d1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Volkswagen,Volkswagen Polo,2015,20.14,5,Manual,1.5 TDI Highline,Chennai
Petrol,Hatchback,10000,First Owner,620000,2022,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Sportz-Amt-cars-Chennai_63bb4a88-aa1c-4735-be7c-6ccc49d28575.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Santro,2022,20.3,5,Automatic,Sportz AMT,Chennai
Diesel,Hatchback,110000,First Owner,225000,2016,https://www.cardekho.com/used-car-details/used-Chevrolet-Beat-Diesel-Ls-cars-Chennai_ff5a869e-c8ab-48eb-bd80-0e94d9a7fb1c.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks",Chevrolet,Chevrolet Beat,2016,25.44,5,Manual,Diesel LS,Chennai
Petrol,Hatchback,20000,First Owner,500000,2017,https://www.cardekho.com/used-car-details/used-Maruti-Ignis-1.2-Delta-Bsiv-cars-Chennai_1823eb23-0c26-49e0-abdc-dcff3f30dbc1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Ignis,2017,20.89,5,Manual,1.2 Delta BSIV,Chennai
Diesel,SUV,70000,First Owner,1150000,2018,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-1.6-Crdi-Sx-Plus-cars-Chennai_4a1c20da-67fa-41fe-aea2-6450b2f1eb9b.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Creta,2018,19.67,5,Manual,1.6 CRDi SX Plus,Chennai
Petrol,Hatchback,30000,First Owner,285000,2018,https://www.cardekho.com/used-car-details/used-Datsun-Redigo-T-Option-cars-Chennai_8a97270f-2d92-4da3-9174-68936ea50755.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Datsun,Datsun RediGO,2018,22.7,5,Manual,T Option,Chennai
Petrol,Sedan,167332,0th Owner,445000,2015,https://www.cardekho.com/used-car-details/used-Honda-City-I-Vtec-Sv-cars-Chennai_d27363de-c0b8-4473-a89d-0ce3a3ee6ebf.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Honda,Honda City,2015.788,17.4,5,Manual,i VTEC SV,Chennai
Diesel,Hatchback,100000,Second Owner,200000,2011,https://www.cardekho.com/used-car-details/used-Ford-Figo-Diesel-Exi-cars-Chennai_2ed0260e-5923-4df8-87b8-b62c8141f07a.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks",Ford,Ford Figo,2011,20,5,Manual,Diesel EXI,Chennai
Petrol,SUV,20000,Second Owner,1300000,2021,https://www.cardekho.com/used-car-details/used-Skoda-Kushaq-1.0-Tsi-Style-At-Bsvi-cars-Chennai_e6910d8e-43a1-4bac-8228-47aeb68449b1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Skoda,Skoda Kushaq,2021,17.2,5,Automatic,1.0 TSI Style AT BSVI,Chennai
Petrol,Hatchback,132724,0th Owner,225000,2015,https://www.cardekho.com/used-car-details/used-Maruti-Alto-K10-Vxi-cars-Chennai_7993ddd2-58c0-45ba-bcca-c703a583f016.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Maruti,Maruti Alto K10,2015.788,23.95,5,Manual,VXI,Chennai
Diesel,Sedan,100000,Second Owner,420000,2012,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-1.6-Crdi-cars-Chennai_3a82d220-873d-4754-8e01-45ee12d3b0e8.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Hyundai,Hyundai Verna,2012,22.32,5,Manual,1.6 CRDI,Chennai
Diesel,Sedan,150000,First Owner,100000,2005,https://www.cardekho.com/used-car-details/used-Skoda-Octavia-Classic-1.9-Tdi-Mt-cars-Chennai_94ca50b1-e43f-4505-801b-59a3fbbb9f6e.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Skoda,Skoda Octavia,2005,18.7,5,Manual,Classic 1.9 TDI MT,Chennai
Cng,Hatchback,20000,First Owner,650000,2022,https://www.cardekho.com/used-car-details/used-Tata-Tiago-Xt-Cng-Bsvi-cars-Chennai_be59ce5f-4b7e-4538-a04e-a07a6bb247e6.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Tata,Tata Tiago,2022,26.49,5,Manual,XT CNG BSVI,Chennai
Petrol,Sedan,70000,Second Owner,300000,2009,https://www.cardekho.com/used-car-details/used-Honda-New-Accord-2.4-Mt-cars-Chennai_a3caeede-ae5a-4bdb-9c0a-3e6b74702ff1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Honda,Honda New Accord,2009,12.8,5,Manual,2.4 MT,Chennai
Petrol,Sedan,100000,First Owner,200000,2008,https://www.cardekho.com/used-car-details/used-Honda-City-1.5-E-Mt-cars-Chennai_bcbfb37d-cd64-4c78-9f27-ba159e3a6423.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Honda,Honda City,2008,17,5,Manual,1.5 E MT,Chennai
Petrol,Hatchback,10000,First Owner,300000,2013,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Sportz-cars-Chennai_5457ad97-1d48-453b-af3b-fcf893d2c222.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",Hyundai,Hyundai Grand i10,2013,18.9,5,Manual,Sportz,Chennai
Petrol,Hatchback,20000,First Owner,150000,2010,https://www.cardekho.com/used-car-details/used-Maruti-Ritz-Vxi-cars-Chennai_e3c0ff84-8c29-46ef-9aa7-8a8ea6c1cc8e.htm,"Power Steering, Low Fuel Warning Light, Air Conditioner, Heater, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Child Safety Locks, Day Night Rear View Mirror",Maruti,Maruti Ritz,2010,21.1,5,Manual,VXI,Chennai
Petrol,Minivans,90000,Third Owner,80000,2002,https://www.cardekho.com/used-car-details/used-Maruti-Versa-Dx2-8-seater-Bsiii-cars-Chennai_f7d5a090-1352-4fc6-a2cf-7c3de5ff44a3.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Rear Window Defogger, Brake Assist, Centeral Locking",Maruti,Maruti Versa,2002,11.3,8,Manual,DX2 8-SEATER BSIII,Chennai
Petrol,Hatchback,90000,Fourth Owner,180000,2014,https://www.cardekho.com/used-car-details/used-Fiat-Punto-1.2-Active-cars-Chennai_e09ce673-c984-48a9-ad2d-1535dfa981ad.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Rear, Centeral Locking, Passenger Side Rear View Mirror, Cd Player",Fiat,Fiat Punto,2014,15.7,5,Manual,1.2 Active,Chennai
Petrol,Hatchback,30000,First Owner,560000,2021,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Nios-Sportz-cars-Chennai_4608a573-6902-469b-94c6-deeeacc2dffb.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Grand i10 Nios,2021,20.7,5,Manual,Sportz,Chennai
Petrol,Sedan,150000,First Owner,90000,2003,https://www.cardekho.com/used-car-details/used-Mitsubishi-Lancer-1.5-Glxi-cars-Chennai_f7db0db5-782b-42e7-93e4-607ae02144fc.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",Mitsubishi,Mitsubishi Lancer,2003,13.7,5,Manual,1.5 GLXi,Chennai
Petrol,Sedan,10000,First Owner,2000000,2022,https://www.cardekho.com/used-car-details/used-Skoda-Slavia-1.5-Tsi-Style-At-Bsvi-cars-Chennai_46fe5816-6b2b-482c-95da-7e79c9b0415e.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Skoda,Skoda Slavia,2022,18.41,5,Automatic,1.5 TSI Style AT BSVI,Chennai
